781
242
17
36 94 136 190 216 289 326 362 424 461 491 533 623 664 683 767 0 
12 86 133 185 227 287 306 374 394 467 506 544 585 645 723 772 0 
29 67 144 155 216 290 332 382 408 476 526 558 607 644 685 742 0 
5 95 131 159 211 289 303 355 420 476 529 569 610 637 721 768 0 
29 79 129 174 225 256 338 372 435 460 530 549 582 672 721 746 0 
42 96 117 178 198 274 321 360 420 443 499 565 589 677 704 745 0 
23 81 116 191 220 288 336 365 418 464 521 554 623 676 724 746 781 
18 55 137 175 218 261 265 382 434 438 529 577 612 645 703 773 0 
37 51 102 147 194 256 311 361 426 428 529 555 589 675 701 754 779 
46 91 141 170 231 252 266 386 405 465 519 578 625 640 704 739 0 
4 68 145 180 208 229 330 365 431 461 497 579 596 651 708 743 775 
40 67 145 157 195 240 324 377 416 482 513 567 623 673 688 756 0 
22 87 142 169 205 275 333 367 417 474 496 575 589 673 700 741 0 
46 71 108 192 238 281 299 373 434 468 497 580 607 643 683 761 0 
47 53 135 173 217 249 338 364 399 457 503 540 588 648 679 774 0 
14 87 106 160 240 283 316 352 402 442 530 561 592 677 681 743 0 
18 77 116 182 200 245 329 371 416 448 530 544 616 636 700 750 0 
34 56 126 184 210 289 320 360 421 465 505 555 601 666 714 756 0 
23 70 141 183 236 258 325 376 423 482 531 573 598 653 700 766 0 
19 73 110 184 213 291 313 386 430 456 510 567 606 656 686 760 0 
46 94 129 160 213 288 330 342 429 457 512 575 599 646 685 752 0 
46 50 139 186 201 248 294 346 433 478 522 579 588 666 717 736 0 
41 58 139 183 204 279 334 358 428 445 525 560 609 670 681 738 0 
33 51 135 180 237 269 298 356 436 445 528 578 618 677 692 726 0 
48 94 143 151 207 262 322 387 405 475 530 557 626 662 722 731 0 
29 72 123 152 241 268 299 356 437 451 504 562 620 641 695 766 0 
22 66 139 191 229 291 311 388 427 450 530 548 611 663 707 765 776 
30 95 124 174 239 269 301 360 423 477 532 539 622 652 703 758 779 
47 57 141 146 242 279 310 361 393 469 496 580 622 634 714 753 0 
36 70 132 193 229 276 338 375 411 449 490 564 619 632 703 751 0 
33 59 105 189 234 282 339 362 435 439 529 551 594 641 682 740 781 
15 71 138 193 202 251 321 383 421 438 487 550 606 662 705 754 0 
8 93 103 172 242 268 335 343 438 442 524 578 617 639 685 774 0 
27 90 111 158 229 266 302 378 423 460 516 566 588 678 706 752 0 
40 74 133 166 237 290 312 371 399 470 514 575 619 635 699 745 0 
4 49 136 181 214 267 334 381 413 459 532 581 592 666 720 730 776 
47 86 122 182 198 292 307 330 427 470 533 562 624 647 725 754 0 
2 67 116 159 235 273 311 354 395 438 511 565 614 671 725 753 0 
31 94 116 188 205 280 301 375 431 453 505 574 597 633 693 735 0 
8 97 99 187 236 252 296 388 429 454 532 537 626 676 678 749 0 
15 88 99 165 241 250 314 368 385 480 507 544 622 633 726 728 0 
25 66 107 192 243 253 336 353 406 463 512 549 605 640 717 755 0 
30 75 146 163 222 262 311 367 401 455 504 573 616 669 687 734 0 
23 85 130 173 213 293 304 349 415 483 520 579 627 642 701 772 778 
13 95 115 194 231 291 334 376 389 475 513 536 617 661 724 750 0 
37 86 139 188 223 284 333 356 397 465 485 571 580 653 720 773 0 
43 64 140 156 208 270 305 385 435 441 518 565 623 650 680 765 0 
15 77 142 190 217 288 323 382 390 450 501 568 613 652 721 751 780 
25 59 109 193 244 294 340 371 409 445 485 573 585 642 724 739 0 
7 61 101 172 232 266 332 336 403 480 522 553 621 631 715 759 0 
21 89 119 188 199 292 324 367 400 440 498 536 614 675 706 746 0 
24 77 104 146 196 255 257 384 403 481 495 556 614 660 697 758 778 
48 51 132 172 206 267 314 388 418 465 500 573 627 658 717 760 0 
20 55 136 194 209 281 295 351 403 477 520 578 602 669 722 743 0 
18 63 135 192 204 280 341 381 437 449 523 570 593 657 707 740 0 
25 82 133 173 216 239 324 386 421 468 504 561 610 632 684 763 0 
39 72 143 154 197 293 317 344 396 468 531 566 621 676 687 760 0 
45 89 102 167 212 271 309 385 399 481 516 579 628 640 724 773 0 
32 93 107 161 233 256 329 381 386 467 488 539 590 662 725 769 780 
22 97 126 171 238 249 336 387 402 448 528 581 582 660 718 757 0 
44 53 144 158 237 253 331 343 431 473 522 546 601 638 713 747 0 
31 55 131 189 219 254 325 389 393 462 524 572 600 656 678 755 0 
28 83 136 161 224 254 331 388 412 453 501 577 595 672 715 770 0 
48 68 142 189 201 292 329 384 401 458 508 565 629 665 707 762 0 
2 57 140 179 226 292 320 338 396 456 507 541 617 635 702 741 0 
38 97 129 157 243 294 333 374 391 447 525 556 587 669 715 728 0 
24 79 103 169 224 258 328 347 391 455 528 580 600 676 723 727 0 
26 63 124 190 223 266 307 342 433 475 505 550 612 639 713 733 0 
34 77 125 155 207 260 321 347 412 469 497 581 629 671 684 728 0 
38 68 141 177 244 282 295 353 389 479 527 576 588 646 705 772 0 
3 53 113 189 196 271 328 379 409 447 517 577 621 673 694 731 0 
8 81 137 160 217 259 337 355 430 437 513 550 615 675 699 770 0 
5 69 118 177 214 248 301 363 396 440 525 564 591 671 716 773 0 
41 55 114 157 203 276 319 373 429 444 489 574 614 634 695 742 0 
5 90 101 169 210 282 326 372 390 453 515 540 606 677 710 733 0 
37 84 110 163 234 278 327 383 425 460 532 534 620 643 707 767 0 
30 62 135 187 209 255 300 366 435 473 488 538 603 659 691 772 0 
9 93 127 153 222 261 338 385 418 478 508 559 630 654 699 740 0 
48 96 112 179 236 277 290 380 434 446 513 560 618 634 712 748 0 
7 78 122 163 197 273 337 342 389 454 517 570 610 664 719 765 0 
49 92 129 166 204 285 295 365 414 480 508 533 618 655 716 761 0 
28 52 134 192 198 262 305 383 397 444 495 560 629 668 713 744 0 
23 83 102 166 201 270 323 345 434 462 488 571 626 668 723 728 0 
18 74 100 176 197 260 309 387 423 453 496 538 620 668 696 734 0 
40 52 112 167 241 247 332 352 394 471 493 546 608 642 717 771 0 
3 95 119 179 213 275 306 348 391 464 531 538 611 665 689 759 0 
43 65 122 191 244 281 327 366 392 443 457 568 600 674 726 766 0 
2 84 98 162 230 283 340 370 393 471 517 558 599 640 686 745 780 
1 52 137 159 240 293 294 381 404 477 507 559 583 649 723 737 0 
47 74 110 164 212 293 308 353 417 439 523 577 617 674 695 729 0 
10 57 107 168 199 270 331 375 408 474 493 547 625 671 689 772 0 
9 76 140 190 232 248 340 348 427 460 529 539 626 677 727 735 0 
32 81 145 178 243 273 323 379 392 439 509 557 619 648 686 768 0 
42 84 104 165 215 253 329 350 430 464 509 572 628 632 718 737 0 
33 58 124 181 197 290 297 384 420 449 519 540 616 674 718 749 0 
6 60 130 156 200 287 310 387 396 477 503 553 628 670 721 755 0 
42 73 115 186 217 244 332 369 410 483 504 534 586 658 696 758 0 
43 54 109 188 215 246 310 355 417 484 501 545 607 660 713 727 0 
14 73 118 172 234 277 320 376 432 458 487 548 593 675 695 734 0 
44 83 120 195 242 286 325 347 432 466 527 536 592 644 725 771 0 
1 96 114 180 242 263 297 351 395 441 531 555 612 663 697 763 0 
45 66 114 149 226 257 321 374 428 484 519 557 624 643 688 771 0 
19 62 107 151 218 281 312 377 402 441 532 551 628 651 709 771 0 
41 69 144 178 238 270 341 383 410 464 517 545 596 674 709 762 0 
27 59 134 152 236 249 309 373 412 471 498 576 586 638 708 763 778 
14 88 111 153 224 292 306 340 426 468 511 567 594 649 712 773 0 
6 61 125 194 227 240 305 379 411 459 531 579 624 633 710 774 0 
46 96 127 194 241 286 339 348 422 447 503 581 595 637 711 751 0 
39 93 134 174 228 246 308 388 436 483 522 541 616 673 724 768 0 
27 96 138 168 223 271 308 364 425 451 494 574 622 657 723 761 0 
47 90 128 162 238 275 335 377 412 436 518 544 625 631 681 736 0 
13 71 145 187 200 289 331 386 419 442 462 581 587 650 690 742 0 
3 83 125 154 193 274 326 365 433 483 526 555 583 678 711 764 0 
20 84 119 171 245 268 330 337 432 475 526 563 629 645 716 769 0 
49 78 142 175 211 253 297 344 435 437 524 552 602 647 706 764 0 
33 54 126 164 211 252 312 345 409 426 510 561 613 630 696 738 0 
28 89 105 186 240 290 327 349 428 462 533 576 612 661 722 752 780 
45 69 143 156 243 254 314 357 382 443 523 535 609 663 719 769 0 
6 76 117 162 225 282 297 341 431 485 511 564 621 664 722 748 0 
16 85 108 185 196 284 310 346 407 479 523 578 601 641 703 746 0 
35 91 132 176 195 239 339 358 415 446 484 566 626 669 702 757 0 
